rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff_bumbo_minus_tarol
1,102,7Networks_RH_Vis_2,Vis,103,0.06381270289421082,-0.05874184891581535
2,1,7Networks_LH_Vis_1,Vis,124,0.05134275183081627,-0.047373805195093155
3,100,7Networks_LH_Default_PHC_1,Default,80,0.04324750229716301,-0.039381034672260284
4,103,7Networks_RH_Vis_3,Vis,153,0.04269503429532051,-0.038086287677288055
5,189,7Networks_RH_Default_Temp_5,Default,76,0.04203680902719498,0.03658786788582802
6,80,7Networks_LH_Default_Par_2,Default,88,0.03882363438606262,-0.01308532990515232
7,115,7Networks_RH_Vis_15,Vis,70,0.03865524008870125,-0.03307352215051651
8,96,7Networks_LH_Default_pCunPCC_1,Default,80,0.038421500474214554,-0.030909085646271706
9,78,7Networks_LH_Default_Temp_5,Default,140,0.037600960582494736,0.028574643656611443
10,190,7Networks_RH_Default_PFCv_1,Default,101,0.03716228902339935,0.029895514249801636
11,77,7Networks_LH_Default_Temp_4,Default,108,0.03629101440310478,0.02240978367626667
12,198,7Networks_RH_Default_pCunPCC_1,Default,30,0.035703156143426895,-0.032246511429548264
13,187,7Networks_RH_Default_Temp_3,Default,88,0.035471297800540924,0.030856121331453323
14,148,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,75,0.03450184315443039,0.03154103457927704
15,2,7Networks_LH_Vis_2,Vis,147,0.033070553094148636,-0.025693709030747414
16,181,7Networks_RH_Cont_PFCmp_2,Cont,83,0.03266535699367523,0.024581873789429665
17,111,7Networks_RH_Vis_11,Vis,87,0.0319821871817112,-0.026157502084970474
18,136,7Networks_RH_DorsAttn_Post_2,DorsAttn,132,0.031317297369241714,0.025706298649311066
19,79,7Networks_LH_Default_Par_1,Default,85,0.029712488874793053,0.01793632097542286
20,116,7Networks_RH_SomMot_1,SomMot,63,0.029337922111153603,-0.0150223383679986
21,101,7Networks_RH_Vis_1,Vis,88,0.029156850650906563,-0.017551636323332787
22,32,7Networks_LH_DorsAttn_Post_2,DorsAttn,120,0.028485136106610298,0.0057787601836025715
23,91,7Networks_LH_Default_PFC_9,Default,53,0.02824069932103157,-6.192660657688975e-05
24,11,7Networks_LH_Vis_11,Vis,130,0.028229059651494026,-0.023100584745407104
25,112,7Networks_RH_Vis_12,Vis,128,0.028174877166748047,-0.024746855720877647
26,182,7Networks_RH_Default_Par_1,Default,77,0.028083423152565956,0.001285756123252213
27,185,7Networks_RH_Default_Temp_1,Default,100,0.028033249080181122,0.020858511328697205
28,95,7Networks_LH_Default_PFC_13,Default,66,0.027492690831422806,0.006649235263466835
29,107,7Networks_RH_Vis_7,Vis,84,0.027232544496655464,-0.017010554671287537
30,114,7Networks_RH_Vis_14,Vis,62,0.027164600789546967,-0.021163051947951317
31,149,7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn,101,0.027075225487351418,0.022207433357834816
32,194,7Networks_RH_Default_PFCdPFCm_4,Default,104,0.026946505531668663,0.022230319678783417
33,188,7Networks_RH_Default_Temp_4,Default,39,0.026934728026390076,0.02151995711028576
34,158,7Networks_RH_SalVentAttn_Med_3,SalVentAttn,76,0.026356210932135582,0.017380300909280777
35,87,7Networks_LH_Default_PFC_5,Default,106,0.026277003809809685,0.01883404143154621
36,195,7Networks_RH_Default_PFCdPFCm_5,Default,45,0.026039330288767815,0.00399197218939662
37,70,7Networks_LH_Cont_PFCl_5,Cont,96,0.026003515347838402,0.017980016767978668
38,9,7Networks_LH_Vis_9,Vis,155,0.025973916053771973,-0.019934698939323425
39,14,7Networks_LH_Vis_14,Vis,82,0.024763548746705055,-0.017932947725057602
40,76,7Networks_LH_Default_Temp_3,Default,100,0.024747617542743683,0.01838662475347519
41,110,7Networks_RH_Vis_10,Vis,75,0.02461654134094715,-0.016719762235879898
42,105,7Networks_RH_Vis_5,Vis,72,0.02433674968779087,0.008291242644190788
43,81,7Networks_LH_Default_Par_3,Default,92,0.02421308122575283,0.016529342159628868
44,99,7Networks_LH_Default_pCunPCC_4,Default,89,0.02410902827978134,-0.0037862947210669518
45,15,7Networks_LH_SomMot_1,SomMot,72,0.02347583882510662,-0.005916902795433998
46,106,7Networks_RH_Vis_6,Vis,129,0.023336904123425484,-0.014882616698741913
47,6,7Networks_LH_Vis_6,Vis,69,0.023328766226768494,-0.014580251649022102
48,140,7Networks_RH_DorsAttn_Post_6,DorsAttn,75,0.0231503676623106,-0.006139583420008421
49,176,7Networks_RH_Cont_PFCl_7,Cont,83,0.022893717512488365,0.01773684471845627
50,183,7Networks_RH_Default_Par_2,Default,135,0.022655609995126724,0.018460631370544434
51,74,7Networks_LH_Default_Temp_1,Default,130,0.02264322340488434,0.01157810166478157
52,85,7Networks_LH_Default_PFC_3,Default,84,0.02258463203907013,0.016105905175209045
53,193,7Networks_RH_Default_PFCdPFCm_3,Default,37,0.02246813289821148,0.001920977607369423
54,151,7Networks_RH_SalVentAttn_PrC_1,SalVentAttn,61,0.02227238193154335,0.014419594779610634
55,16,7Networks_LH_SomMot_2,SomMot,109,0.022064222022891045,-0.01691318303346634
56,12,7Networks_LH_Vis_12,Vis,87,0.021613113582134247,-0.014037033542990685
57,10,7Networks_LH_Vis_10,Vis,174,0.021515004336833954,-0.01730894297361374
58,142,7Networks_RH_DorsAttn_Post_8,DorsAttn,141,0.02150025963783264,-0.004706293810158968
59,197,7Networks_RH_Default_PFCdPFCm_7,Default,37,0.021436911076307297,-0.011947235092520714
60,89,7Networks_LH_Default_PFC_7,Default,100,0.021431703120470047,0.01057653222233057
61,30,7Networks_LH_SomMot_16,SomMot,89,0.021365243941545486,-0.003206862136721611
62,4,7Networks_LH_Vis_4,Vis,99,0.021311938762664795,-0.015158060938119888
63,166,7Networks_RH_Cont_Par_2,Cont,47,0.020965496078133583,0.01131406333297491
64,168,7Networks_RH_Cont_Temp_1,Cont,84,0.02079680748283863,0.006183568853884935
65,92,7Networks_LH_Default_PFC_10,Default,48,0.02073853835463524,0.0007959914510138333
66,83,7Networks_LH_Default_PFC_1,Default,87,0.020324526354670525,0.012635579332709312
67,186,7Networks_RH_Default_Temp_2,Default,96,0.020114535465836525,0.01659240759909153
68,174,7Networks_RH_Cont_PFCl_5,Cont,94,0.020111065357923508,0.00934410560876131
69,31,7Networks_LH_DorsAttn_Post_1,DorsAttn,149,0.019893871620297432,0.006322961300611496
70,60,7Networks_LH_Limbic_TempPole_4,Limbic,45,0.019891103729605675,-0.007990543730556965
71,117,7Networks_RH_SomMot_2,SomMot,70,0.01979326456785202,-0.005221621133387089
72,169,7Networks_RH_Cont_PFCv_1,Cont,43,0.01967334933578968,0.0014804310631006956
73,71,7Networks_LH_Cont_pCun_1,Cont,93,0.019582001492381096,-0.0037156217731535435
74,177,7Networks_RH_Cont_pCun_1,Cont,87,0.019313769415020943,-0.009295115247368813
75,33,7Networks_LH_DorsAttn_Post_3,DorsAttn,95,0.01903323456645012,-0.006955343764275312
76,138,7Networks_RH_DorsAttn_Post_4,DorsAttn,73,0.01901526376605034,0.009631232358515263
77,147,7Networks_RH_DorsAttn_PrCv_1,DorsAttn,76,0.01891002617776394,0.014913973398506641
78,127,7Networks_RH_SomMot_12,SomMot,68,0.01888526976108551,0.011835957877337933
79,104,7Networks_RH_Vis_4,Vis,77,0.018728921189904213,-0.015532582998275757
80,139,7Networks_RH_DorsAttn_Post_5,DorsAttn,100,0.018590779975056648,0.013927110470831394
81,109,7Networks_RH_Vis_9,Vis,105,0.018576378002762794,-0.012436021119356155
82,180,7Networks_RH_Cont_PFCmp_1,Cont,89,0.018412968143820763,0.011226356029510498
83,90,7Networks_LH_Default_PFC_8,Default,68,0.01816343329846859,-0.0030424240976572037
84,199,7Networks_RH_Default_pCunPCC_2,Default,97,0.01812811568379402,-0.00482901930809021
85,167,7Networks_RH_Cont_Par_3,Cont,105,0.018117351457476616,-0.006314604077488184
86,135,7Networks_RH_DorsAttn_Post_1,DorsAttn,125,0.018108420073986053,0.004395258147269487
87,5,7Networks_LH_Vis_5,Vis,136,0.01795046776533127,-0.003134382190182805
88,97,7Networks_LH_Default_pCunPCC_2,Default,108,0.01794547587633133,-0.004030250012874603
89,25,7Networks_LH_SomMot_11,SomMot,97,0.017759740352630615,0.009176533669233322
90,108,7Networks_RH_Vis_8,Vis,130,0.017748333513736725,-0.0033959473948925734
91,75,7Networks_LH_Default_Temp_2,Default,113,0.017636796459555626,0.011378058232367039
92,141,7Networks_RH_DorsAttn_Post_7,DorsAttn,121,0.017623720690608025,0.003146231174468994
93,146,7Networks_RH_DorsAttn_FEF_2,DorsAttn,90,0.017622441053390503,-0.0009995826985687017
94,113,7Networks_RH_Vis_13,Vis,56,0.01758662238717079,-0.013192783109843731
95,13,7Networks_LH_Vis_13,Vis,143,0.017486391589045525,-0.012885422445833683
96,3,7Networks_LH_Vis_3,Vis,120,0.017379404976963997,-0.002145265694707632
97,24,7Networks_LH_SomMot_10,SomMot,156,0.017222413793206215,0.011378158815205097
98,93,7Networks_LH_Default_PFC_11,Default,64,0.017067374661564827,0.002778767142444849
