roi,name,network,mean_abs_diff
102,7Networks_RH_Vis_2,Vis,0.06381270289421082
1,7Networks_LH_Vis_1,Vis,0.05134275183081627
100,7Networks_LH_Default_PHC_1,Default,0.04324750229716301
103,7Networks_RH_Vis_3,Vis,0.04269503429532051
189,7Networks_RH_Default_Temp_5,Default,0.04203680902719498
80,7Networks_LH_Default_Par_2,Default,0.03882363438606262
115,7Networks_RH_Vis_15,Vis,0.03865524008870125
96,7Networks_LH_Default_pCunPCC_1,Default,0.038421500474214554
78,7Networks_LH_Default_Temp_5,Default,0.037600960582494736
190,7Networks_RH_Default_PFCv_1,Default,0.03716228902339935
77,7Networks_LH_Default_Temp_4,Default,0.03629101440310478
198,7Networks_RH_Default_pCunPCC_1,Default,0.035703156143426895
187,7Networks_RH_Default_Temp_3,Default,0.035471297800540924
148,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,0.03450184315443039
2,7Networks_LH_Vis_2,Vis,0.033070553094148636
181,7Networks_RH_Cont_PFCmp_2,Cont,0.03266535699367523
111,7Networks_RH_Vis_11,Vis,0.0319821871817112
136,7Networks_RH_DorsAttn_Post_2,DorsAttn,0.031317297369241714
79,7Networks_LH_Default_Par_1,Default,0.029712488874793053
116,7Networks_RH_SomMot_1,SomMot,0.029337922111153603
