rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff,mean_act_bumbo,mean_act_tarol
1,111,7Networks_RH_Vis_11,Vis,87,0.053672224283218384,0.05132042616605759,0.09540907293558121,0.044088639318943024
2,3,7Networks_LH_Vis_3,Vis,120,0.04687633365392685,0.044892121106386185,0.10093968361616135,0.05604755878448486
3,103,7Networks_RH_Vis_3,Vis,153,0.04248331859707832,0.04071121662855148,0.020484967157244682,-0.0202262531965971
4,8,7Networks_LH_Vis_8,Vis,138,0.03934153914451599,0.03598357364535332,-0.0732555091381073,-0.10923907905817032
5,11,7Networks_LH_Vis_11,Vis,130,0.03900676220655441,0.0357198566198349,0.04593028128147125,0.01021043211221695
6,2,7Networks_LH_Vis_2,Vis,147,0.03740977868437767,0.0361502431333065,-0.0027865958400070667,-0.03893683850765228
7,136,7Networks_RH_DorsAttn_Post_2,DorsAttn,132,0.037075482308864594,0.03626472130417824,-0.14495199918746948,-0.18121670186519623
8,142,7Networks_RH_DorsAttn_Post_8,DorsAttn,141,0.03645094856619835,0.03469868376851082,0.16798657178878784,0.1332879215478897
9,9,7Networks_LH_Vis_9,Vis,155,0.03597252815961838,0.03414086252450943,-0.010892918333411217,-0.045033786445856094
10,115,7Networks_RH_Vis_15,Vis,70,0.035796791315078735,0.033361777663230896,0.09351420402526855,0.06015243008732796
11,105,7Networks_RH_Vis_5,Vis,72,0.03482848033308983,0.0332929752767086,-0.028924716636538506,-0.062217697501182556
12,108,7Networks_RH_Vis_8,Vis,130,0.034073807299137115,0.03186992555856705,-0.09479355812072754,-0.12666349112987518
13,32,7Networks_LH_DorsAttn_Post_2,DorsAttn,120,0.03369273617863655,0.03121650218963623,-0.03208722546696663,-0.06330373138189316
14,14,7Networks_LH_Vis_14,Vis,82,0.03295145183801651,0.031972311437129974,0.07901598513126373,0.04704367369413376
15,135,7Networks_RH_DorsAttn_Post_1,DorsAttn,125,0.03237392380833626,0.03115633688867092,0.09507735073566437,0.0639210194349289
16,1,7Networks_LH_Vis_1,Vis,124,0.03173463046550751,0.03126299008727074,0.05048808082938194,0.01922508515417576
17,38,7Networks_LH_DorsAttn_Post_8,DorsAttn,98,0.03105350211262703,0.028395654633641243,0.11887253820896149,0.0904768854379654
18,143,7Networks_RH_DorsAttn_Post_9,DorsAttn,156,0.029680399224162102,0.028572622686624527,0.00355147710070014,-0.0250211451202631
19,114,7Networks_RH_Vis_14,Vis,62,0.0290183387696743,0.026459144428372383,0.11268102377653122,0.08622187376022339
20,102,7Networks_RH_Vis_2,Vis,103,0.028777187690138817,0.027218438684940338,0.022158106788992882,-0.0050603351555764675
