vertex_index,hemisphere,x_mm,y_mm,z_mm
0,L,-36.7855,-18.6004,64.8213
1,L,-16.1729,-66.8947,59.4082
2,L,-11.6052,-8.8997,47.8828
3,L,-22.4161,42.8069,23.5589
4,L,-57.1031,-0.0804,10.1244
5,L,-50.0775,-48.9127,44.8987
6,L,-36.3380,-85.4009,-2.1784
7,L,-20.9520,-61.9603,8.0596
8,L,-3.6043,9.3866,-3.5403
9,L,-26.4443,23.3752,-6.3651
10,L,-53.4722,-22.4869,-4.5171
11,L,-35.5467,-23.4951,-23.1196
12,L,-52.9709,-6.0253,38.7083
13,L,-37.5867,24.3366,24.5615
14,L,-30.6160,9.8267,54.1530
15,L,-47.8372,-27.1695,53.3749
16,L,-57.9281,-26.5213,26.6017
17,L,-21.1344,-34.6191,69.1289
18,L,-27.7145,-51.3579,39.5655
19,L,-11.7235,-11.0716,68.3151
20,L,-16.0336,-45.6496,55.4908
21,L,-6.5298,34.7017,49.9477
22,L,-11.6681,53.8933,1.2929
23,L,-5.7685,16.6870,23.4347
24,L,-38.4547,50.7197,-4.8151
25,L,-14.3698,27.2391,-21.4726
26,L,-37.6178,15.9840,9.2967
27,L,-32.6872,-32.0632,17.4368
28,L,-48.4247,-9.0433,-10.7488
29,L,-61.8788,-48.1490,15.6939
30,L,-41.5239,-67.8861,27.3744
31,L,-59.6272,-55.7683,-1.6360
32,L,-23.8036,-78.7042,16.9990
33,L,-11.7366,-67.4951,34.8727
34,L,-13.0076,-92.7188,3.0527
35,L,-4.0290,-33.3918,30.6951
36,L,-7.8701,-30.8062,8.6013
37,L,-26.8121,6.1372,-35.8814
38,L,-35.0736,-24.9449,-10.8156
39,L,-53.7152,-18.2922,-26.5739
40,L,-42.7068,-64.5336,-18.8994
41,L,-18.8404,-57.9693,-6.5000
42,L,-41.2901,-11.8388,48.5774
43,L,-40.6128,3.4910,47.6948
44,L,-29.1996,-8.8447,45.3580
45,L,-39.0324,-27.1704,49.5768
46,L,-42.2440,-22.3576,39.2100
47,L,-21.7580,-29.4547,52.5178
48,L,-36.6907,-33.4162,64.6622
49,L,-23.5741,-16.9257,65.2177
50,L,-10.6224,-29.8766,66.3333
51,L,-19.2513,0.0553,56.3523
52,L,-14.5657,60.7979,12.0849
53,L,-8.6613,50.6800,25.0775
54,L,-15.0879,46.5746,38.6982
55,L,-30.4117,47.6919,9.8648
56,L,-16.4484,58.9634,-5.4580
57,L,-39.1762,37.0062,28.9252
58,L,-34.5811,36.6335,11.7697
59,L,-47.6263,-13.7524,17.8103
60,L,-35.9772,-9.6843,16.8708
61,L,-48.9165,7.1885,0.9848
62,L,-62.9002,-14.7377,18.3389
63,L,-49.2782,-28.4472,18.8180
64,L,-50.3363,-61.9447,36.3004
65,L,-44.1553,-54.0186,21.9689
66,L,-55.7834,-50.9194,30.8439
67,L,-40.1145,-50.3686,35.3568
68,L,-38.4989,-67.4086,46.3946
69,L,-7.3082,-73.3464,46.6864
70,L,-16.8196,-86.6270,36.6112
71,L,-18.6589,-68.2416,38.4091
72,L,-8.8564,-55.3657,59.8988
73,L,-9.6576,-54.8012,44.7856
74,L,-8.1940,5.4162,37.0575
75,L,-6.4303,-9.6324,31.3111
76,L,-7.9578,-20.0756,38.9171
77,L,-4.3756,21.2747,-22.2555
78,L,-15.1050,-3.6084,-13.0373
79,L,-5.6662,-16.8851,-20.0223
80,L,-36.0915,-2.9300,-6.4928
81,L,-43.8485,12.5655,-25.5757
82,L,-34.3818,4.4719,-15.2679
83,L,-53.6193,-39.2178,-7.1769
84,L,-58.9993,-37.8381,-16.1809
85,L,-58.8555,-18.9457,-15.9830
86,L,-20.2061,-100.1533,-7.8900
87,L,-18.5521,-89.2360,-7.3439
88,L,-42.3752,-81.9278,-13.3468
89,L,-9.7957,-46.7597,6.5006
90,L,-14.7507,-40.8012,-2.3860
91,L,-15.1257,-63.9021,0.7065
92,L,-58.5580,1.4662,26.0876
93,L,-43.1351,6.9000,17.7892
94,L,-36.4899,0.8029,30.9822
95,L,-39.5504,22.8393,39.5049
96,L,-25.7589,27.4450,33.3049
97,L,-40.1310,-34.4968,35.5994
98,L,-57.5491,-33.8806,40.2728
99,L,-50.0924,-23.6343,37.3830
100,L,-55.9898,-11.8400,31.0502
101,L,-20.3119,-51.6863,58.4297
102,L,-25.3190,-58.3147,53.1310
103,L,-32.2351,-47.2633,57.8391
104,L,-31.2007,-40.5301,44.3059
105,L,-9.1016,-10.8682,57.4065
106,L,-13.6585,-28.4566,46.7674
107,L,-5.4027,-29.0190,62.2256
108,L,-14.4771,-41.6187,72.1292
109,L,-22.2908,25.3395,52.2856
110,L,-10.9885,10.6903,62.4344
111,L,-9.7977,11.3496,50.4604
112,L,-5.9833,35.8189,-8.3644
113,L,-1.0793,18.4771,8.6438
114,L,-7.0598,39.1540,12.2906
115,L,-11.6402,25.5755,32.9202
116,L,-45.3231,32.1828,-14.9493
117,L,-29.8445,22.7793,-20.5192
118,L,-23.0270,42.6059,-11.2143
119,L,-3.7494,48.2729,-22.5417
120,L,-53.8761,21.5098,16.5862
121,L,-49.4298,30.7445,-1.7855
122,L,-28.2740,26.4060,7.5280
123,L,-53.5565,-23.0886,0.2414
124,L,-59.1201,-6.9769,-2.5534
125,L,-41.7657,-25.2049,1.7401
126,L,-36.8107,-5.4859,6.3200
127,L,-51.6768,-40.7305,30.2514
128,L,-48.2768,-39.0371,11.8548
129,L,-62.5307,-33.9423,4.6471
130,L,-44.3913,-75.9481,14.7873
131,L,-40.2136,-68.2400,-0.2889
132,L,-44.8904,-63.6805,10.1384
133,L,-48.5579,-48.1481,4.3033
134,L,-27.6586,-64.7566,37.2920
135,L,-36.2442,-83.4235,26.5651
136,L,-29.2701,-92.9658,9.6747
137,L,-20.4920,-61.9815,22.1374
138,L,-13.8718,-79.5677,11.8554
139,L,-3.9185,-76.2380,21.0265
140,L,-12.0826,-97.4378,13.9135
141,L,-9.9240,-39.2861,42.4042
142,L,-11.9181,-55.8569,29.6366
143,L,-5.2638,-50.5931,18.5833
144,L,-2.1012,-14.6096,0.6307
145,L,-0.9105,-7.5199,16.2473
146,L,0.0188,-35.7081,21.8619
147,L,-25.0749,3.9861,-12.9622
148,L,-34.1571,-13.0648,-25.6912
149,L,-31.4846,-4.7882,-33.7333
150,L,-22.0538,-22.1473,-22.1580
151,L,-49.4806,-0.0130,-26.3891
152,L,-38.9925,-0.4633,-39.1449
153,L,-45.0717,-18.1246,-30.8895
154,L,-47.7117,-58.5520,-7.8243
155,L,-48.9576,-41.3850,-23.8890
156,L,-35.5824,-43.8685,-21.8529
157,L,-6.5598,-80.1364,-1.7294
158,L,-27.5597,-66.1256,-5.1942
159,L,-35.2777,-41.3659,-10.7258
160,L,-20.1277,-32.1906,-5.9663
161,L,-24.2950,-34.3524,-12.4969
162,L,-39.7128,-12.7340,57.4942
163,L,-39.5414,-7.5031,51.2290
164,L,-34.8409,-11.1107,57.9426
165,L,-34.9462,-24.5956,50.7543
166,L,-32.7854,-19.2918,47.5345
167,L,-28.4665,-23.4545,56.9173
168,L,-29.8192,-29.6904,49.7256
169,L,-31.3256,-16.4334,67.6836
170,L,-23.9514,-22.8028,64.6140
171,L,-26.3506,-13.8866,54.6892
172,L,-23.0950,55.4908,21.8760
173,L,-13.4815,53.4910,24.6666
174,L,-21.7804,47.1525,32.8288
175,L,-26.8062,46.6278,16.1816
176,L,-24.0560,54.5539,9.8977
177,L,-30.0156,35.6964,22.4919
178,L,-35.9693,45.7565,19.1391
179,L,-53.6493,-6.9873,9.4488
180,L,-48.3975,-4.0523,8.2686
181,L,-55.9523,3.9559,3.4476
182,L,-61.9385,-8.6739,10.8131
183,L,-56.0403,-15.5225,14.6715
184,L,-50.0413,-54.4436,40.7197
185,L,-48.1058,-54.1086,31.5326
186,L,-52.0782,-48.3602,38.2357
187,L,-45.4480,-50.4687,40.5719
188,L,-46.6674,-57.5264,40.7925
189,L,-10.1056,-70.5136,53.3122
190,L,-14.6557,-74.4284,45.6230
191,L,-15.8665,-66.4905,48.3849
192,L,-13.7573,-60.2657,59.6020
193,L,-9.6881,-63.2819,54.8133
194,L,-11.7807,-1.8476,41.6903
195,L,-6.6146,-7.2508,40.9062
196,L,-13.2004,-13.1526,40.8556
197,L,-6.5769,16.7992,-10.4350
198,L,-6.1151,1.4453,-11.4698
199,L,-2.1941,-6.4690,-10.3390
200,L,-34.8659,13.3434,-3.4713
201,L,-36.7855,1.8016,-11.0768
202,L,-30.4177,14.5125,-8.3841
203,L,-46.7032,-30.7766,-7.1037
204,L,-55.0873,-28.3910,-12.3611
205,L,-49.3058,-21.2614,-13.0420
206,L,-28.2462,-95.3521,-4.9701
207,L,-28.7433,-93.8120,-14.7153
208,L,-39.6547,-87.3559,-7.7865
209,L,-14.9331,-54.5493,8.2088
210,L,-21.9970,-53.9994,2.8006
211,L,-26.1414,-65.3495,2.9888
212,L,-56.9638,-1.4520,33.5489
213,L,-49.7929,2.5883,28.9396
214,L,-47.6383,-2.1537,35.2787
215,L,-37.6030,5.6634,55.3812
216,L,-42.2423,14.0965,45.5933
217,L,-35.3380,20.5709,49.4875
218,L,-32.0135,28.0569,40.6501
219,L,-29.1565,17.0675,42.0178
220,L,-40.8920,-29.2140,41.9653
221,L,-43.9910,-28.0052,34.1894
222,L,-49.6959,-24.5998,46.0539
223,L,-39.6908,-13.5216,33.8138
224,L,-48.5798,-17.4325,34.4166
225,L,-45.5358,-8.7784,27.2541
226,L,-51.2734,-8.4459,21.3008
227,L,-20.5192,-43.7192,61.6695
228,L,-27.3816,-48.5209,61.6895
229,L,-22.5210,-40.9560,55.2337
230,L,-43.8857,-31.2612,58.5856
231,L,-36.2574,-36.5599,53.8891
232,L,-37.9444,-33.6405,46.3706
233,L,-33.2393,-36.4514,37.3390
234,L,-9.2455,-9.6837,64.9473
235,L,-6.9891,-19.4805,62.2745
236,L,-5.9505,-18.0648,70.0448
237,L,-14.7971,-34.9983,66.0792
238,L,-7.4093,-39.0133,71.0102
239,L,-15.1836,-38.0167,73.7745
240,L,-17.8608,-47.9017,69.1819
241,L,-20.7625,22.9051,38.9805
242,L,-24.3423,12.9494,44.8781
243,L,-19.2703,-5.7840,64.7828
244,L,-19.9195,7.4331,64.2483
245,L,-13.6226,-0.2831,68.7711
246,L,-7.0517,0.1994,65.9640
247,L,-12.3848,43.3645,-3.1046
248,L,-6.4857,39.8483,0.6213
249,L,-11.4765,44.3836,5.0583
250,L,-6.9346,43.8978,37.9097
251,L,-6.8324,37.8271,28.4750
252,L,-7.5524,29.4103,39.5233
253,L,-10.1205,17.8506,41.7878
254,L,-7.8938,22.6079,49.8090
255,L,-43.3924,43.1706,-13.2081
256,L,-34.4720,37.7581,-8.7838
257,L,-32.4232,50.2187,-11.2421
258,L,-7.2275,64.7888,-3.9208
259,L,-6.2457,59.7389,-17.4011
260,L,-6.5348,51.1704,-9.1864
261,L,-9.6143,40.2974,-13.0863
262,L,-37.1524,14.8753,22.5228
263,L,-49.1661,14.2073,21.7318
264,L,-43.0931,21.1594,19.1492
265,L,-40.2878,44.8064,3.2965
266,L,-45.0663,35.2249,4.7812
267,L,-43.7588,37.6248,-4.4500
268,L,-47.1740,34.0582,-8.4661
269,L,-41.7254,-30.1467,6.3608
270,L,-49.2346,-22.1521,6.5295
271,L,-36.3443,-28.0318,9.5657
272,L,-37.9020,3.1508,13.5302
